City,Street,Community,FinalPrice,Period_of_Transaction,Number_of_Bedrooms,Number_of_Livlingrooms,Number_of_Kitchens,Number_of_Bathrooms,Heading,Listing_Price,Year_of_Construction,Area,Price_per_squaremeter,Elevator,Floorlevel,Decoration
Hangzhou,Fuxing,Fuxinnanyuan,1.45,89,1,0,1,1,South   ,1.47,2000,35.78㎡          ,40526,No           ,Low           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,2.09,59,2,1,1,1,South   ,2.12,1998,47.33㎡          ,44159,No           ,Mid           ,Mediocre     
Hangzhou,Fuxing,Meizhenghuayuan,2.8,63,2,2,1,1,South   ,3.65,1998,86.18㎡          ,32491,No           ,High           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,5.5,115,4,2,1,2,South   ,6.1,2005,170.55㎡          ,32249,Yes           ,Low           ,Mediocre     
Hangzhou,Fuxing,Zihuayuan,1.68,27,1,1,1,1,South   ,1.8,2000,38.6㎡          ,43524,No           ,High           ,Mediocre     
Hangzhou,Fuxing,Meizhenghuayuan,2.33,295,2,1,1,1,South   ,2.48,1998,60.51㎡          ,38507,No           ,High           ,None     
Hangzhou,Fuxing,Qinhejiayuan,1.42,44,1,1,1,1,South   ,1.5,2003,34.29㎡          ,41412,No           ,Low           ,Mediocre     
Hangzhou,Fuxing,Meizhenghuayuan,0.55,55,1,1,1,1,South   ,1.98,2000,44.8㎡          ,12277,No           ,Low           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,1.65,32,1,1,1,1,South   ,1.7,1998,37.37㎡          ,44154,No           ,High           ,Mediocre     
Hangzhou,Fuxing,Liuheyuan,4.07,19,3,2,1,1,South   ,4.5,2006,108.03㎡          ,41378,No           ,Mid           ,Mediocre     
Hangzhou,Fuxing,Fuxinchengshijiayuan,4.02,144,2,2,1,1,South   ,4.1,2000,97.92㎡          ,41054,No           ,High           ,Fine     
Hangzhou,Fuxing,Qinhejiayuan,1.445,78,1,1,1,1,South   ,1.5,2003,34.29㎡          ,42141,No           ,High           ,Mediocre     
Hangzhou,Fuxing,Fuxinnanyuan,1.48,105,1,1,1,1,South   ,1.55,1998,37.37㎡          ,39604,No           ,High           ,Mediocre     
Hangzhou,Fuxing,Meizhenghuayuan,4.4,105,3,2,1,1,South   ,4.48,2000,105.62㎡          ,41659,No           ,High           ,Fine     
Hangzhou,Fuxing,Minanyuan,1.37,111,1,1,1,1,South   ,1.5,2002,32.48㎡          ,42180,No           ,High           ,Mediocre     
Hangzhou,Fuxing,Fuxingbeiyuan,2.65,147,2,1,1,1,South   ,2.7,1998,69.58㎡          ,38086,No           ,High           ,Mediocre     
Hangzhou,Fuxing,Shimutianjiayuan,3.02,59,3,1,1,1,South   ,3.08,2003,72.29㎡          ,41777,No           ,Mid           ,Fine     
Hangzhou,Fuxing,Fuxingbeiyuan,1.55,116,1,1,1,1,South   ,1.6,1998,34㎡          ,45589,No           ,Low           ,Fine     
Hangzhou,Chengzhan,Sanyilixiaoqu,1,11,1,1,1,1,South   ,1.25,1988,28.54㎡          ,35039,No           ,Low         ,Mediocre     
Hangzhou,Chengzhan,Xinyuli,1.42,106,1,0,1,1,South   ,1.45,1997,31.11㎡          ,45645,No           ,Mid           ,Mediocre     
Hangzhou,Chengzhan,Fulixincun,1.6,12,1,1,1,1,South   ,1.6,1996,34.97㎡          ,45754,No           ,High           ,Mediocre     
Hangzhou,Chengzhan,Wangkexinsechengpin,1.6,112,1,1,1,1,North  ,1.65,2010,38.41㎡          ,41656,Yes           ,Mid           ,Fine     
Hangzhou,Chengzhan,Meihuasanshenggongyu,6.695,984,4,2,1,2,South,6.8,2003,184.83㎡          ,36223,Yes           ,Low           ,Mediocre     
Hangzhou,Chaoming,Yanzinong,2,29,2,1,1,1,South   ,2,1989,59.66㎡          ,33524,No           ,High      ,Mediocre     
Hangzhou,Chaoming,Tanxiangyuan,3.61,16,2,1,1,1,South   ,3.88,2008,65.15㎡          ,55411,Yes           ,Mid    ,Mediocre     
Hangzhou,Chaoming,Tanxiangyuan,6,130,3,2,1,2,Southeast   ,7.2,2008,156.14㎡          ,38428,Yes           ,Mid        ,Fine     
Hangzhou,Chaoming,Hanlinhuayuan,5.5,90,3,2,1,2,South  ,6.4,2002,127.85㎡          ,43020,Yes           ,Mid          ,Mediocre     
Hangzhou,Chaoming,Lianzhuli,2,56,2,1,1,1,South  ,2.37,1998,53.81㎡          ,37168,No           ,Mid  ,Fine     
Hangzhou,Chaoming,Changqingli,1.6,59,2,1,1,1,South   ,2,1990,41.26㎡          ,38779,No           ,Low         ,Mediocre     
Hangzhou,Chaoming,Yanzinong,1.48,220,1,1,1,1,South  ,1.5,1989,39.97㎡          ,37028,No           ,Mid        ,Mediocre     
Hangzhou,Chaoming,Jinyazhuanggongyu,3.5,61,3,2,1,2,South   ,4.6,1998,94.65㎡          ,36979,No           ,Mid       ,Mediocre     
Hangzhou,Chaoming,Daxueluxincun,1.7,44,3,1,1,1,East,2.3,1989,50.28㎡          ,33811,No           ,Mid       ,Fine     
Hangzhou,Chaoming,Yanzinong,3.1,27,2,2,1,1,South   ,3.12,1993,69.61㎡          ,44534,No           ,Mid           ,Fine     
Hangzhou,Chaoming,Hanlinhuayuan,8.5,396,5,3,1,3,South   ,8.8,2002,222.66㎡          ,38175,No           ,High           ,Fine     
Hangzhou,Chaoming,Qintaijiexiaoqu,2.245,172,2,1,1,1,South   ,2.28,1998,53.34㎡          ,42089,No           ,High           ,Mediocre     
Hangzhou,Chaoming,Changpoli,1.78,22,2,1,1,1,South   ,2.05,2000,46.58㎡          ,38214,Yes           ,Mid           ,None     
Hangzhou,Chaoming,Qintaijiexiaoqu,1,30,1,1,1,1,Southeast   ,1.65,1998,37.02㎡          ,27013,No           ,Mid           ,Fine     
